user,item
329,570
902,111
13,73
301,116
1140,532
449,507
496,47
611,65
1174,189
958,354
338,226
428,44
654,617
260,516
512,172
276,707
185,20
953,477
2,777
766,213
870,102
599,707
344,52
627,576
1317,376
822,94
442,289
812,285
12,2
780,163
381,574
838,94
1222,762
367,39
1212,424
1343,441
1015,476
209,765
1374,578
37,5
456,698
671,359
558,70
571,289
415,168
477,801
420,44
734,531
1286,762
124,97
240,309
867,463
338,475
317,388
1204,502
53,285
52,711
737,442
363,488
1047,594
478,604
953,820
1017,382
265,121
501,208
486,371
102,651
417,706
243,540
336,725
224,199
909,113
461,376
161,179
1407,574
1321,293
327,711
1263,704
575,785
451,811
1227,668
87,166
824,644
527,244
1270,461
777,774
333,185
784,811
67,62
1124,578
1218,706
635,707
958,516
477,642
14,238
1290,707
454,883
909,557
702,191
951,183
164,795
366,706
915,655
726,182
768,92
739,421
398,225
217,648
478,100
376,533
932,574
550,88
1218,208
1192,844
116,347
179,482
714,676
657,71
821,378
557,635
1102,244
424,187
886,104
33,212
117,428
1254,391
866,100
1240,706
910,156
626,746
238,785
350,75
801,324
1088,181
1223,313
242,764
767,211
392,821
840,109
156,212
102,696
786,659
270,55
56,868
718,596
20,84
426,226
1341,543
375,545
1077,227
1228,807
102,578
1020,445
54,113
948,688
1196,492
1119,168
336,396
302,470
52,226
1278,704
514,656
1029,405
102,163
52,706
437,548
91,213
1319,720
546,704
113,690
653,96
593,285
80,811
992,658
762,425
594,568
17,3
972,126
273,137
592,116
64,11
302,519
128,836
655,811
708,896
550,80
1336,758
124,576
409,44
563,406
678,150
738,811
30,15
1001,861
1019,141
727,790
1304,368
217,198
94,794
634,765
102,415
221,61
815,94
118,181
842,94
1008,226
1040,679
809,94
365,566
561,808
1122,323
601,707
683,152
980,761
543,545
1133,347
1208,659
494,216
20,156
216,285
918,599
795,294
351,38
1374,386
1097,834
1300,581
579,61
721,278
536,578
524,507
421,337
866,635
1246,514
720,750
718,543
882,104
674,129
1041,151
432,50
506,502
844,321
1302,504
56,6
1284,864
835,613
56,706
1157,823
45,6
30,5
1018,292
1365,378
209,103
302,117
854,98
1163,183
798,184
866,861
309,659
1257,342
114,36
514,605
1157,372
324,32
18,145
773,327
12,230
6,41
1077,167
108,174
156,258
334,582
1144,633
703,75
108,702
362,791
640,210
13,497
51,506
14,234
495,61
730,369
984,353
1322,676
624,707
1023,552
35,9
30,785
897,245
400,122
590,167
1,103
72,156
263,27
740,769
132,213
1021,142
767,510
613,691
1273,537
433,333
662,749
550,156
628,576
100,556
1221,659
189,686
189,481
700,74
1308,319
48,302
27,7
753,807
268,103
339,706
580,61
725,79
1191,812
55,690
1135,753
1145,334
1145,543
79,575
1388,506
837,98
291,44
327,581
806,706
165,291
366,544
400,59
1302,277
504,316
90,363
356,887
113,803
161,779
680,777
315,889
407,238
285,175
426,746
1061,458
281,678
968,350
1198,374
464,46
1077,434
443,790
157,227
338,453
199,368
442,385
696,74
1233,897
322,112
795,295
476,279
161,17
341,387
