user,item
28,237
1236,254
1119,803
37,80
748,387
23,479
415,44
106,112
639,603
1057,258
237,258
1113,302
771,730
1137,762
600,632
629,589
180,178
933,692
1064,802
1106,166
362,74
16,21
1134,835
142,706
896,109
472,279
373,716
1005,162
534,60
693,683
630,350
199,279
277,454
86,508
220,656
936,655
1045,466
1329,564
92,800
844,94
455,152
525,205
1289,748
403,44
1275,353
388,841
1073,705
564,500
1334,865
382,41
459,525
352,570
1136,762
1362,368
113,624
421,388
81,659
123,207
1410,845
233,245
361,760
1059,595
510,486
275,779
113,657
414,44
57,6
89,606
441,342
1368,670
3,554
881,234
1025,156
437,173
511,794
1178,698
191,279
274,29
947,233
1340,428
832,762
680,73
443,587
740,718
857,347
332,193
540,376
687,74
302,419
1034,596
433,513
320,32
1358,829
408,558
569,61
647,346
1366,428
506,50
157,176
1398,805
171,318
1401,502
106,570
1332,304
151,15
1262,895
491,543
48,267
52,92
694,156
361,54
450,354
1309,419
924,452
1114,338
807,531
799,773
1177,629
265,27
968,125
1307,293
243,204
1012,470
73,6
288,746
1303,315
1020,180
695,419
1017,268
383,578
379,757
1126,707
1267,250
277,594
961,120
128,728
18,450
830,252
1153,837
1261,323
1318,785
792,686
844,306
1273,488
57,61
72,168
891,590
1262,422
394,696
137,198
116,340
827,215
30,475
195,21
383,548
122,623
202,374
12,306
1193,197
393,60
669,804
244,103
259,518
1311,285
147,116
204,404
337,34
1197,375
1136,174
523,54
674,363
249,707
1103,627
1035,405
1326,795
340,458
143,455
798,94
1316,819
282,89
421,166
578,61
901,707
696,473
127,519
1032,503
1213,430
938,116
666,481
988,130
181,328
451,120
951,355
1114,233
817,763
770,821
648,336
741,706
5,302
1196,279
420,188
1201,198
634,686
1,25
943,174
573,831
205,23
1182,706
119,239
1215,667
835,318
422,624
259,321
669,72
1051,154
364,687
373,310
369,39
124,647
267,658
819,94
960,707
1103,696
988,521
238,203
688,263
77,6
912,728
107,347
10,31
52,83
217,894
525,162
634,710
895,577
259,117
251,640
541,481
1381,709
835,801
1001,210
1091,163
718,744
36,5
1,565
270,550
488,643
1116,168
1285,310
662,706
953,841
857,164
781,93
353,428
1198,354
127,11
921,220
118,615
200,517
792,349
0,0
13,362
405,184
773,407
163,26
575,662
215,691
54,776
1424,657
448,103
1319,709
800,404
147,156
929,116
325,306
1081,174
411,407
119,503
1365,504
718,356
120,377
611,827
1186,356
1025,677
18,315
869,101
937,515
261,227
1343,460
1202,685
704,75
1393,424
1427,794
1104,254
616,589
1373,844
584,226
120,791
351,177
1085,686
37,375
557,820
472,639
1132,424
302,860
822,317
883,104
1106,351
317,120
918,115
987,200
914,180
102,233
1232,384
1181,484
1085,869
1130,800
330,58
658,198
805,706
829,436
439,44
504,53
1094,793
382,192
1112,394
624,525
456,45
96,569
1393,644
90,178
551,499
1268,367
51,444
613,102
654,886
278,574
254,617
1325,301
1278,612
1271,387
339,784
1250,362
616,92
54,115
1056,771
521,87
1214,578
137,707
287,300
1206,662
479,247
544,348
83,465
1201,258
283,86
601,761
368,207
979,128
620,850
295,97
602,518
752,156
875,897
634,289
418,61
10,8
752,578
194,485
844,351
573,779
797,658
75,822
1258,240
101,22
348,673
8,428
796,680
1028,689
456,846
1259,681
372,816
102,663
823,776
821,731
1230,221
512,798
1277,762
1198,198
379,224
1096,163
101,70
304,754
548,59
758,199
1422,614
54,208
407,373
992,897
1223,242
348,588
418,198
477,46
1065,239
350,145
226,611
255,258
758,285
317,94
1031,146
30,156
1258,620
525,348
1143,369
203,403
547,861
341,137
0,280
1159,757
803,321
1231,220
652,71
196,25
19,353
1272,251
348,607
21,60
135,564
1113,167
162,755
26,96
849,676
529,54
531,626
1297,853
807,707
575,210
28,95
489,46
425,192
218,198
789,540
457,130
730,106
1405,763
1125,168
72,736
791,107
387,706
717,77
1376,528
72,802
1271,602
203,588
566,61
519,203
428,785
1385,402
652,314
808,286
751,504
373,192
726,372
999,502
338,114
338,834
890,716
344,35
789,436
449,44
528,120
408,734
662,659
992,407
550,330
875,305
180,410
758,282
939,467
1059,155
243,148
1117,287
1154,741
81,44
875,785
546,478
670,72
1062,868
287,29
1050,303
1277,253
493,762
1121,799
56,856
342,40
824,94
350,227
860,168
168,897
1233,217
1013,827
1351,380
1221,770
1336,672
1078,897
188,47
628,724
249,26
845,414
364,385
1028,176
154,410
575,234
555,240
303,605
1191,195
642,172
759,91
531,83
413,156
46,6
1228,643
1016,503
866,613
51,728
1107,363
879,866
466,46
1287,706
1362,778
378,412
1014,899
51,241
553,789
264,456
1427,727
18,794
699,156
705,663
896,843
1073,621
942,117
664,460
1238,764
1316,869
1201,635
730,82
235,706
18,38
633,381
711,644
635,709
940,391
565,116
1082,157
408,678
313,384
1289,869
1192,749
681,811
435,679
459,106
